Model,thr,F1@0.5,F1@thr,Precision@thr,Recall@thr,ROC_AUC,Brier
HGT,0.29,0.7811989443257509,0.7800687285223368,0.7232370433305013,0.8465937344604675,0.8794543928517234,0.13818735712549043
XGBoost,0.36,0.7743467933491687,0.7805300966063908,0.7776406712734452,0.7834410740924913,0.8935042030368453,0.13339002561696697
LightGBM,0.33,0.7829255596043727,0.7780572523655528,0.750635544256991,0.8075584286424664,0.8951610220946484,0.12928598084117945
Embedding Fusion,0.33,0.8156623442664632,0.8146127387024078,0.7788614198230891,0.8538040775733466,0.9155643861823175,0.11643739554820262
Stacking,0.27,0.780538571614414,0.7823120964794738,0.7668975400047767,0.7983590253605172,0.8900222631671599,0.14036595317704334
Stacking+calib,0.39,0.7712686057626655,0.7795800326920659,0.7886034088018316,0.7707608155146694,0.8889088878944016,0.13166928497356573
