Modele,ROC-AUC,AP,Rappel,Precision,F1,Bal.Acc,Accuracy
HGT,0.948957764539571,0.9391209117544661,0.8886787993382179,0.8619899128839982,0.8751309205166996,0.8845816073324007,0.8842252913249892
Random Forest,0.9787534898334693,0.9758653876171861,0.9191680453793429,0.928162291169451,0.9236432727704548,0.9297051265213173,0.9306214933103151
XGBoost,0.9769493974322935,0.9744884453923539,0.9210588513353817,0.9221486038807383,0.9216034054629301,0.9278710972976293,0.9284635304272767
Embedding Fusion,0.966385710995077,0.9633469519883411,0.9014417395414795,0.8936269915651359,0.8975173549829392,0.9056543619287704,0.9060207164436772
Stacking,0.9779092995923758,0.9744718471463226,0.9255495154809738,0.9207618151892781,0.9231494578029231,0.9293223058842233,0.9296504100129478
