Modele,ROC-AUC,AP,Rappel,Precision,F1,Bal.Acc,Accuracy
HGT relationnel,0.9059852388942012,0.8856710988683132,0.8284093594894824,0.8225768598920441,0.8254828073480923,0.8391600102986423,0.8400949503668537
Random Forest,0.9785850600146483,0.976281694879336,0.9198770976128575,0.929543826128493,0.9246851983844143,0.9306552452527261,0.9315925766076824
XGBoost,0.9765610164292625,0.9739458325450678,0.9229496572914204,0.9222957014643364,0.9226225634967513,0.9288165002756487,0.9293267155804921
Embedding Fusion,0.9599225715524076,0.9536880034327591,0.8872606948711889,0.8857951864086834,0.8865273349864211,0.895585876520367,0.8963098834700043
Stacking,0.9769428282235917,0.9740607870924859,0.9262585677144883,0.9229863400847856,0.9246195588061814,0.9306694863587331,0.9310530858869227
