SMOTE_ratio,F1_weighted,ROC_AUC,Recall_minority,Precision_minority,Train_size
0.9,0.8421481400440378,0.9182073455296325,0.8066650909950366,0.8416769420468557,28709
0.95,0.8372107535225466,0.9137227579020895,0.8092649491845899,0.8302618816682832,29464
1.0,0.8367477212063188,0.914513573322481,0.8135192625856772,0.8264105642256903,30220
