model,arm,fold,n_test,prev_test,AUC,AP
XGBoost,avec_geo,0,4886,0.2984036021285305,0.5694576496631468,0.37649854167468383
HGT_mécaniste,avec_geo,0,4886,0.2984036021285305,0.641353863046676,0.42565277203560786
XGBoost,avec_geo,1,15740,0.6085133418043202,0.5435642978211523,0.6665941207585089
HGT_mécaniste,avec_geo,1,15740,0.6085133418043202,0.49334890848869345,0.5910036393910587
XGBoost,sans_geo,0,4886,0.2984036021285305,0.5957228296622825,0.3652189099369015
HGT_mécaniste,sans_geo,0,4886,0.2984036021285305,0.6309567541092239,0.43698098217308634
XGBoost,sans_geo,1,15740,0.6085133418043202,0.5203586819817052,0.6254186981860538
HGT_mécaniste,sans_geo,1,15740,0.6085133418043202,0.5295519782602522,0.5903180083027733
