Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
HGT alone,0.7725507121277514,0.7470328135908774,0.7586858898605531,0.7528142589118199,0.8446027639382538
XGBoost alone,0.888541217091066,0.8860453887011106,0.8674072323327818,0.8766272542696764,0.9518313475788501
Embedding Fusion,0.892641346568839,0.8917675544794189,0.8704797920113448,0.8809950962803492,0.9541752177821723
Stacking Ensemble,0.8972809667673716,0.8824352694191743,0.8941148664618294,0.8882366752758863,0.9558910012492289
