Scenario,N_features,F1_weighted,ROC_AUC,Recall_minority,Precision_minority
ENV_ONLY,8,0.5197980640181582,0.7359660938738986,0.17135428976601277,0.7671957671957672
PROXIMITY_ONLY,8,0.7022559758592849,0.8015863888248,0.5329709288584259,0.7641477465266011
